Dist Code,Year,State Code,State Name,Dist Name,JANUARY RAINFALL (Millimeters),FEBRUARY RAINFALL (Millimeters),MARCH RAINFALL (Millimeters),APRIL RAINFALL (Millimeters),MAY RAINFALL (Millimeters),JUNE RAINFALL (Millimeters),JULY RAINFALL (Millimeters),AUGUST RAINFALL (Millimeters),SEPTEMBER RAINFALL (Millimeters),OCTOBER RAINFALL (Millimeters),NOVEMBER RAINFALL (Millimeters),DECEMBER RAINFALL (Millimeters)
83,1990,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,30.6,2.1,17.5,4.5,254,36.1,89,99.5,188.8,344.3,271.7,49.9
83,1991,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,18.2,2.1,0,4.1,5.8,242.4,59.8,136.7,151.4,281.7,538.3,4.1
83,1992,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,11.4,0,0,11.1,23.9,6.9,67.3,117.1,112.9,124.4,378.6,93.8
83,1993,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0,3.6,0.6,0,38.1,41.8,65.7,169,168.8,239.4,427.9,233.2
83,1994,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0.5,16.1,0.6,0,35.7,38.5,99.2,138.7,87.2,312.5,437.7,145.3
83,1995,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,81.5,1.6,8.5,1.9,275,93.1,107.7,257.8,200.4,204.3,153,2
83,1996,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0.2,0,0,44.5,5.6,396.9,55.8,107.3,166.3,246.2,249,412.4
83,1997,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,32.1,7.2,0,22.7,5.5,43.8,41.2,73.4,217.2,214.4,519.5,317.5
83,1998,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0,9.2,0,1.7,21.7,20.2,67.9,223.8,248,185.2,523.8,170.6
83,1999,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,9.6,0,0,200.3,34.2,25.4,71,136.8,69.1,199.7,253.1,121.6
83,2000,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,2.8,203,0.2,17.3,33,89.1,70.8,74.2,79.1,150.8,158.9,88.5
83,2001,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,4.8,0,0,74.9,28.7,36.4,96.3,47.6,137.5,226.2,171,205.2
83,2002,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,20.5,0.3,0,0,32.2,46.3,24.1,82.7,75.5,200.9,264.3,61
83,2003,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0.1,0,13.5,14.1,14.5,46.7,239.5,219.8,177.3,234.7,132.7,43.2
83,2004,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,14.2,0,7.7,16.4,222.1,41.8,29.2,32.8,313.2,253.2,195,3.6
83,2005,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0,0.5,9,130,30.2,32.9,98.9,81.5,80.2,516.4,576.7,377.9
83,2006,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,16.1,0,26.5,3.7,14.7,87.2,65.7,32.6,129.6,414.5,232.3,57.7
83,2007,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0,1.6,0,19.4,14.4,69.5,116.6,190.2,154.2,263.6,98.2,296.6
83,2008,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,28.8,18.8,150.9,13.5,18.6,52.2,43.3,99.7,117.8,295.7,507.8,36.3
83,2009,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,16,0,6.6,0,43.8,11.3,41.8,93.9,73.6,46.5,493.8,259.5
83,2010,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,4.7,0.1,0,0,191.1,107.9,93.3,209.4,116.1,192,291.9,260.9
83,2011,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,5.6,36.1,0,55.9,29.8,-1,-1,-1,-1,-1,-1,-1
83,2012,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,7.9,0,0,0.1,5.9,31.6,75.1,141.9,93.8,318.4,95.3,132.6
83,2013,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0,24.3,13.7,0,16.7,73.8,135.3,153.3,172.8,137.1,116.9,61.4
83,2014,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0.5,3.4,0,0,35.7,117.6,50.9,130.9,130.6,196.3,135,106.9
83,2015,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,1.7,0,0,49.5,45.4,32.2,102.2,140.4,70.3,179.8,1061.3,574
83,2016,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0.4,0,0,0,173.2,81.6,76.6,112.7,213.3,28.6,26.1,280
83,2017,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,16.4,0.1,0,0,14.4,67.8,98.8,228.6,98.7,287.6,335.7,49.3
84,1990,11,Tamil Nadu,South Arcot Cuddalore,79.4,16.8,30.9,3.6,76.3,30.7,49.6,157.5,141.4,223.1,122.7,57.4
84,1991,11,Tamil Nadu,South Arcot Cuddalore,10.1,6,0,8.4,2.8,73.7,17.6,111.8,112.8,277.1,414.2,20.2
84,1992,11,Tamil Nadu,South Arcot Cuddalore,0.9,0,0,4,11.2,37.3,70.8,44.6,179,148.3,362.3,120.2
84,1993,11,Tamil Nadu,South Arcot Cuddalore,0,8.5,0.8,0,8.8,90,66.6,133.8,137.3,219.4,380,311.8
84,1994,11,Tamil Nadu,South Arcot Cuddalore,1.1,39.1,0,0.4,31,21.5,56.4,113.5,52.7,148.3,284.6,72.1
84,1995,11,Tamil Nadu,South Arcot Cuddalore,21.5,1.7,10.9,1.6,163.4,51.8,99.3,123.5,188.4,141.3,135.6,8.6
84,1996,11,Tamil Nadu,South Arcot Cuddalore,0.3,0,0,44.5,32.4,225.2,37.9,139.1,180,176,237.1,762.6
84,1997,11,Tamil Nadu,South Arcot Cuddalore,13,17.1,11.2,38.6,55.9,37,47,96,155.9,196.6,514.2,355.3
84,1998,11,Tamil Nadu,South Arcot Cuddalore,1.3,0.3,0,0,57.7,4.2,35.3,91.5,96.8,178.4,379,416.2
84,1999,11,Tamil Nadu,South Arcot Cuddalore,1.5,4.8,0,50.3,56.9,20.6,83.6,49.5,77.2,284.4,451.5,115
84,2000,11,Tamil Nadu,South Arcot Cuddalore,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8
84,2001,11,Tamil Nadu,South Arcot Cuddalore,2.7,0,0,21.5,37.3,25.7,95.2,82.5,85.1,207.4,146.1,141.6
84,2002,11,Tamil Nadu,South Arcot Cuddalore,26.1,174.2,0,0,25,46.2,61.6,19.8,73.2,236.5,226.9,106.7
84,2003,11,Tamil Nadu,South Arcot Cuddalore,0,0,0.2,21.5,70.8,30.4,84.3,224.8,94.5,304.4,446.7,28.1
84,2004,11,Tamil Nadu,South Arcot Cuddalore,21.6,0,7.5,0.4,250.1,81.4,27.6,75.1,253.8,503.1,389.1,16.3
84,2005,11,Tamil Nadu,South Arcot Cuddalore,1.5,7.9,1.6,129.3,75.2,2.2,41,79.6,217.5,260.4,824.3,261.4
84,2006,11,Tamil Nadu,South Arcot Cuddalore,29.7,0,9.7,6.6,50.4,54.6,38,51.9,102,471.5,407.1,128.7
84,2007,11,Tamil Nadu,South Arcot Cuddalore,0,11.5,0,17.8,24.9,17.8,104.1,143.3,65.3,422,87.9,327.8
84,2008,11,Tamil Nadu,South Arcot Cuddalore,73.3,28,272.5,3.9,41.8,50.4,59,92.7,78.7,257.4,728,151.1
84,2009,11,Tamil Nadu,South Arcot Cuddalore,20.2,0,69.1,36.6,21.3,39,61.4,125.4,105.9,54.3,372.5,163.1
84,2010,11,Tamil Nadu,South Arcot Cuddalore,2.3,0,0,0.6,137.5,68.5,36.3,149.9,108.2,145.4,553.3,345
84,2011,11,Tamil Nadu,South Arcot Cuddalore,45.2,24.8,0,105.2,15.4,-1,-1,-1,-1,-1,-1,-1
84,2012,11,Tamil Nadu,South Arcot Cuddalore,5.6,0,5.1,14.8,24,2.4,55.4,78.6,109.1,479.6,94.3,13.9
84,2013,11,Tamil Nadu,South Arcot Cuddalore,0.1,21.2,28.8,0.1,30.5,51.7,38.1,239.2,125.4,114.8,236.7,91.1
84,2014,11,Tamil Nadu,South Arcot Cuddalore,1.9,13.7,0,0,174.1,52.4,41.6,169.2,69.5,309.7,238,147.8
84,2015,11,Tamil Nadu,South Arcot Cuddalore,14.7,0,0.4,64.1,95.7,72.2,83.3,88.1,46.7,99.1,726.4,415
84,2016,11,Tamil Nadu,South Arcot Cuddalore,0.7,0.1,0.4,0,96.9,104.1,66.9,117,58,60.6,32.1,37.7
84,2017,11,Tamil Nadu,South Arcot Cuddalore,114,0.3,12.4,0,11,65.3,69,211.1,121.9,202.9,391.4,181.6
85,1990,11,Tamil Nadu,North Arcot Vellore,36.3,12.3,33.1,14,123.9,31.9,41.4,91.9,213.4,134.5,144.4,18
85,1991,11,Tamil Nadu,North Arcot Vellore,1.9,0,0.5,19,10.6,168.2,32.9,148.1,149,298.7,309.5,1.4
85,1992,11,Tamil Nadu,North Arcot Vellore,12,0,0,7.2,30.2,45.4,76.5,86.7,119.2,193.6,218.4,19.2
85,1993,11,Tamil Nadu,North Arcot Vellore,0,3.7,2.7,2.6,50.2,81.3,89.3,101.9,255.7,146.6,276.5,138.4
85,1994,11,Tamil Nadu,North Arcot Vellore,2.8,1.8,0,9.6,78.8,48,114.6,145.5,102.4,175.7,179,9.6
85,1995,11,Tamil Nadu,North Arcot Vellore,35.6,2,12.9,0.6,268.9,123.2,143.9,308.8,139.9,118.9,46.4,0.2
85,1996,11,Tamil Nadu,North Arcot Vellore,0,0,1.2,56.9,29.9,247,80,194.7,285,190.6,112.1,348.9
85,1997,11,Tamil Nadu,North Arcot Vellore,11.4,5.2,14.2,50.6,43.9,80.5,59.6,88.1,226.1,141.9,198.6,94.2
85,1998,11,Tamil Nadu,North Arcot Vellore,0,0.3,0,22.7,32.2,25,108.9,168.8,206.4,158.9,199.9,77.8
85,1999,11,Tamil Nadu,North Arcot Vellore,0.8,0.7,0,13.2,52,39.2,26.6,64.9,63.3,120.6,112.1,62.5
85,2000,11,Tamil Nadu,North Arcot Vellore,0,30.9,0,17.8,44.3,39.3,56.4,138.1,181.5,146.7,60,31.6
85,2001,11,Tamil Nadu,North Arcot Vellore,3.7,0,2.1,60.2,44.5,20.6,124.5,40.5,184.3,168.6,32.4,42.4
85,2002,11,Tamil Nadu,North Arcot Vellore,2,0.1,8,7.2,61.2,91.3,29.1,50.8,83,160.7,48.2,42.5
85,2003,11,Tamil Nadu,North Arcot Vellore,0,0,31.2,15,18.8,69.8,261.8,151.8,99.5,199.7,28.4,14.3
85,2004,11,Tamil Nadu,North Arcot Vellore,1.7,0,0.8,22.5,259.6,40.7,118.7,15.1,204.8,136.6,103.1,0.7
85,2005,11,Tamil Nadu,North Arcot Vellore,0,15,12.3,88.6,80.5,72.8,89.1,108.4,168.9,353,191.3,148.1
85,2006,11,Tamil Nadu,North Arcot Vellore,32,0,34.8,26.1,55.3,121.2,34.4,75.5,196.6,162,109.6,37.1
85,2007,11,Tamil Nadu,North Arcot Vellore,0,1,0,59.9,64.4,85.5,186,183.8,124.2,159.1,65.3,216.7
85,2008,11,Tamil Nadu,North Arcot Vellore,11.4,2.9,66.9,10.6,83.3,44.5,70.6,87,110.2,115.7,247.7,7.1
85,2009,11,Tamil Nadu,North Arcot Vellore,2.4,0,1.2,10.8,71.1,44.4,65,121.1,121.6,73,437.5,148.7
85,2010,11,Tamil Nadu,North Arcot Vellore,11.4,0,0,0,74.2,116.8,123.3,99.7,117,88.9,234,87.8
85,2011,11,Tamil Nadu,North Arcot Vellore,0,34.4,0,66.4,43.6,-1,-1,-1,-1,-1,-1,-1
85,2012,11,Tamil Nadu,North Arcot Vellore,3.4,0,0.6,10,44,49.4,130.1,120.6,74,195.5,124.1,58.2
85,2013,11,Tamil Nadu,North Arcot Vellore,0,20.9,25,16.6,70.4,82,54,127.3,191.8,145,55.8,3.8
85,2014,11,Tamil Nadu,North Arcot Vellore,0.1,4.7,5.6,0.5,91.3,94.3,69.3,94,142.4,108.1,51.8,23.6
85,2015,11,Tamil Nadu,North Arcot Vellore,1.3,0.3,10.5,92.5,62.7,103.2,56.6,153.3,131.5,140.2,524.1,83
85,2016,11,Tamil Nadu,North Arcot Vellore,0.9,0,0.2,0,81.8,142.6,159.2,53,65.2,28.9,9.1,140
85,2017,11,Tamil Nadu,North Arcot Vellore,23.1,0,6,6.3,94.5,59.8,50.3,259.2,204.4,216.6,58.9,63.3
86,1990,11,Tamil Nadu,Salem,13.7,23.5,17.9,39.9,58.7,13.1,43.3,101.5,108.8,71.5,66.3,12.7
86,1991,11,Tamil Nadu,Salem,9.6,5.6,0.5,86.1,31.5,119.6,32.2,94.6,129.5,225.6,229.5,3
86,1992,11,Tamil Nadu,Salem,0,0,0,4.2,66.4,56.8,64.3,78.8,215.1,105.1,193.2,8.6
86,1993,11,Tamil Nadu,Salem,0,1.9,11.4,5.9,60.1,103.3,72.6,119.1,112.9,236.9,162.6,81.1
86,1994,11,Tamil Nadu,Salem,1.8,4.9,6.4,38.2,125.2,11.7,76.8,40.4,116.9,216.7,146.3,9
86,1995,11,Tamil Nadu,Salem,0.9,0,11.2,65,119.8,71.3,94.8,154.6,95.6,124.2,96.8,0
86,1996,11,Tamil Nadu,Salem,0,0,0,101.3,60.3,93.6,47.3,154.6,177.5,143,37.2,149
86,1997,11,Tamil Nadu,Salem,1.7,8.9,20.1,52.4,55.7,31.8,63.4,76.8,179,211.9,233.8,83.7
86,1998,11,Tamil Nadu,Salem,0.7,0,0.1,12.2,80,38.4,115.8,239.1,106.3,195.6,147.1,148
86,1999,11,Tamil Nadu,Salem,0,0,0,67.1,136.5,59.9,69,112.5,154.5,241.5,187.9,41.1
86,2000,11,Tamil Nadu,Salem,0.7,13,0.3,34.7,105.3,22.5,22.9,152.6,275,126.4,121.6,58.3
86,2001,11,Tamil Nadu,Salem,1.3,0,3.4,104.7,43.3,14.5,122.2,80.2,180,117.7,58.5,22.7
86,2002,11,Tamil Nadu,Salem,0.4,3.4,8.4,10.4,79.6,35,26.9,70.7,77.4,129,88.3,6.3
86,2003,11,Tamil Nadu,Salem,0,1.7,45.5,46.8,90.4,72.1,88.7,209.3,61.1,260.9,82.4,17.6
86,2004,11,Tamil Nadu,Salem,0,0,0.3,46,344.4,47.4,107.4,38.3,141.6,196.1,82.4,0
86,2005,11,Tamil Nadu,Salem,0,2.2,16.3,125.1,57.2,36.5,82.1,154.6,134.9,282,260.6,64.5
86,2006,11,Tamil Nadu,Salem,43,0,37,30.3,86.2,46.5,30,102.1,192.7,191.5,142.3,13.6
86,2007,11,Tamil Nadu,Salem,0.1,0.5,0,59.8,28.8,30.3,114.1,205.3,138.3,171.9,46.6,157.1
86,2008,11,Tamil Nadu,Salem,4.6,10.4,99.4,35.5,132.2,53.1,95.8,244.9,72.5,148.8,197,13.2
86,2009,11,Tamil Nadu,Salem,2.3,0,16.9,42.4,130.4,12.3,46.7,92,241,55.9,287.3,93.2
86,2010,11,Tamil Nadu,Salem,5.1,0,0,0,124.2,124.5,111.9,202.8,106.6,165,328.7,70.5
86,2011,11,Tamil Nadu,Salem,2.4,6.3,20.5,144.1,46.8,-1,-1,-1,-1,-1,-1,-1
86,2012,11,Tamil Nadu,Salem,0,0,0,36.1,79.2,52.4,99.4,144.6,144.6,198.3,62,14.9
86,2013,11,Tamil Nadu,Salem,0,13,1.2,38.1,30.8,84.8,45.2,141.2,221,123.4,89.6,42.6
86,2014,11,Tamil Nadu,Salem,0,1.1,6.8,5.1,142.2,80.1,22.2,122.7,144.8,253.3,53.9,25.5
86,2015,11,Tamil Nadu,Salem,17.5,4.5,30,143.3,103.7,80.3,31.9,104,132.1,152.2,276.5,59.3
86,2016,11,Tamil Nadu,Salem,0,0,0,2.8,128.4,83.6,139.4,99.7,23.3,35.4,6.7,58.2
86,2017,11,Tamil Nadu,Salem,12.2,0,32.9,22.4,112.6,24.5,37.4,199.4,223.4,212.1,64,65.8
87,1990,11,Tamil Nadu,Coimbatore,56.7,0,34.5,53.7,78.6,12.2,12.5,23,16.9,178.4,112.6,15.4
87,1991,11,Tamil Nadu,Coimbatore,20.8,0,11.1,50,54.5,56,54.1,27.3,37.3,87.4,61.1,7
87,1992,11,Tamil Nadu,Coimbatore,0.1,0,0,15.9,61.5,61,35.5,29.8,143.7,62.8,251.8,18.9
87,1993,11,Tamil Nadu,Coimbatore,0,10.6,12,7.5,68.7,20.6,27,28.6,26.4,168.2,278.8,41.9
87,1994,11,Tamil Nadu,Coimbatore,11.6,13.3,4.3,94.3,50.2,21.5,49.8,2.9,57.3,238.8,173.9,1.3
87,1995,11,Tamil Nadu,Coimbatore,0.7,0.2,3.9,43.3,74.1,12.4,28.3,34.8,19.6,72,99.5,0
87,1996,11,Tamil Nadu,Coimbatore,3.3,12.1,6.4,97.3,26.5,41.8,32.1,49.7,66.7,156.2,62.2,176.1
87,1997,11,Tamil Nadu,Coimbatore,10,9.8,30,29.5,52.4,29.1,48.4,24.4,62,234.3,302.8,73
87,1998,11,Tamil Nadu,Coimbatore,0,0,0.4,22.8,29.4,24.1,61.1,68.3,47.8,40,226.4,147.7
87,1999,11,Tamil Nadu,Coimbatore,0.4,7.7,0.7,54.5,34,12.2,18.2,18.7,43.8,421.6,128.2,32.3
87,2000,11,Tamil Nadu,Coimbatore,2.4,54,2.1,54,29.1,30.4,32.6,128.4,166.9,36.3,101.1,47.8
87,2001,11,Tamil Nadu,Coimbatore,6.1,0.4,3.8,126.4,14.1,47.9,30.5,29,46.4,129.5,140.1,32.3
87,2002,11,Tamil Nadu,Coimbatore,1.5,2.3,20,14.6,25,22.1,20,36,35.2,188.5,59,23.8
87,2003,11,Tamil Nadu,Coimbatore,0,12.8,131.4,55.9,19.9,22.8,17.7,33.8,15.8,187.8,109.4,8.2
87,2004,11,Tamil Nadu,Coimbatore,16.4,0.3,3.7,57.9,140.4,27.2,42.8,34.8,128.5,153.5,106.3,0.4
87,2005,11,Tamil Nadu,Coimbatore,7.7,20.7,45.6,119.8,131.1,25.7,76.6,39,363,242.1,202.1,61.5
87,2006,11,Tamil Nadu,Coimbatore,17.7,0,55.8,40.2,66.1,31.6,22.3,27.1,60.5,133.6,308.8,1.9
87,2007,11,Tamil Nadu,Coimbatore,5.2,5.9,0,56.9,71.5,36.8,39.1,77.1,51.3,197.6,51,129.4
87,2008,11,Tamil Nadu,Coimbatore,3.6,21.4,112.1,28.4,50.3,145.1,212.8,207.6,129.5,240.4,54.5,17.3
87,2009,11,Tamil Nadu,Coimbatore,1.3,0,46.2,28.7,82.4,40.3,12.7,120.6,283.8,35.1,155.4,41.4
87,2010,11,Tamil Nadu,Coimbatore,1.8,0,1.9,58.9,168.6,34.1,40,55.3,58.6,168.7,234.2,34.1
87,2011,11,Tamil Nadu,Coimbatore,0,82.9,8.5,140.6,45.5,-1,-1,-1,-1,-1,-1,-1
87,2012,11,Tamil Nadu,Coimbatore,1.8,0.8,0.1,68.9,47,41.8,48.3,44.1,28.2,229.6,42.5,6.4
87,2013,11,Tamil Nadu,Coimbatore,0,57.8,19.1,54.2,47.9,154.4,126.2,93.3,87.5,160.4,70.6,26.9
87,2014,11,Tamil Nadu,Coimbatore,1.2,3.9,20.2,19.6,101.2,112.5,229.8,249,172.9,258.7,16.5,36.4
87,2015,11,Tamil Nadu,Coimbatore,0,0,27.3,129.8,185.2,104.6,52.2,60.3,92.3,113.1,193.1,34.9
87,2016,11,Tamil Nadu,Coimbatore,22.8,0.2,14.3,20.8,82.9,71.1,88.8,40.9,21.8,83.1,14.1,44.8
87,2017,11,Tamil Nadu,Coimbatore,10.4,0,60.9,23.6,86,73.1,59.2,115,262.7,105.9,44.5,32.2
88,1990,11,Tamil Nadu,Tiruchirapalli Trichy,56.7,12.8,29.3,10,54.4,6.6,12,68.9,134.7,104.9,54.7,40.8
88,1991,11,Tamil Nadu,Tiruchirapalli Trichy,7.1,1,0.1,31.7,13,86.8,3.9,50.7,144.9,154,191.1,31.9
88,1992,11,Tamil Nadu,Tiruchirapalli Trichy,0,0,0,12.4,37,38,58.9,26.5,173,84.3,325.6,61.8
88,1993,11,Tamil Nadu,Tiruchirapalli Trichy,0,0.5,3.5,2.1,16.1,66.2,32.1,85,94.6,186.1,295.2,209
88,1994,11,Tamil Nadu,Tiruchirapalli Trichy,0,27,0.6,44.6,113.3,1.1,13.8,35.2,80.2,172.3,152.7,25.8
88,1995,11,Tamil Nadu,Tiruchirapalli Trichy,1.7,0,6.7,14.9,108.9,19.7,59.4,99.4,67,96,88.5,1.5
88,1996,11,Tamil Nadu,Tiruchirapalli Trichy,0.3,0,0,29.3,36.8,70.3,23.7,132,127.3,91.4,71.1,230.4
